trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-166.8992978911202,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-185.53305735830384,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-120.18661989535984,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-132.46720628542246,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-189.62588301891918,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-117.08953104696975,"{0: 11, 1: 8, 2: 3, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-1.6505782336703028,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-81.51440701126234,"{0: 20, 1: 7, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-86.51505785855738,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-109.93034036110913,"{0: 8, 1: 8, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-59.77509004104901,"{0: 12, 1: 7, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-89.08244975953518,"{0: 15, 1: 13, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-27.41735417733323,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-96.87417885234444,"{0: 14, 1: 14, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-55.06263635650348,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-43.21997130693596,"{0: 14, 1: 9, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-33.610577011738336,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-52.92897298815502,"{0: 13, 1: 10, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-37.11992017337081,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-64.98231097591206,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.18091301392988,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,0,-83.19117042606325,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.97225548222739,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-48.53580824555318,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-30.405330249531154,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-62.641649027033296,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-40.27449543603721,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-24.096278985910963,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-46.904021066404766,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-43.53113383951245,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
