trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-176.3880854540646,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,0,-153.49393236500566,"{0: 11, 1: 11, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,0,-44.54425471914488,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,0,-62.274242491323044,"{0: 10, 1: 7, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-68.50211687875894,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,6,-120.9659359917129,"{0: 5, 1: 4, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,0,-68.41789479912339,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-64.05536349802915,"{0: 10, 1: 7, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",25,0,-33.87450924938989,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",25,0,-26.139745659482756,"{0: 16, 1: 8, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-121.03796058757015,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",20,0,-118.87998642684725,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-161.74013023676147,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-160.7162690258016,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-57.33844590153055,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",30,0,-63.97982033856274,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",25,0,-119.62167445009433,"{0: 13, 1: 8, 2: 1, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,0,-43.321420769505444,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,0,-73.51632377792038,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-125.05592748613412,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",25,0,-106.50922823941154,"{0: 9, 1: 10, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050786}",25,0,-47.01502165711717,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-47.55630169258401,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-53.394067334407985,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-37.229397207284784,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.85088565517596,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-60.56342927167377,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-36.29009715529657,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-40.98404531671862,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-46.207453632197584,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-43.36483563728869,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-52.2818537212182,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",25,0,-47.837636642407155,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",25,0,-58.51377173370422,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,-34.79206949582289,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.0, 'e': 0.0}",30,0,-57.287622899950826,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.090985270142179,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",25,0,-36.54642118206135,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",20,0,-39.56079779270499,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.0, 'e': 0.0}",20,0,-47.42397240549166,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0.0, 'e': 0.0}",25,0,-62.22556000999669,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,0,-17.51039664489116,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0.0, 'e': 0.0}",20,0,-32.70747383249645,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",20,0,-40.61221253306662,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0.0, 'e': 0.0}",20,0,-55.22979990515182,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",20,0,-51.019848400488726,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.0, 'e': 0.0}",25,0,-53.813976385475385,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",25,0,-54.124493083399074,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.0, 'e': 0.0}",30,0,-39.44479951430534,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",25,0,-37.00570839808369,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",25,0,-46.14820233554895,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.0, 'e': 0.0}",20,0,-50.81022204481074,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0.0, 'e': 0.0}",25,0,-43.22209299304932,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.75302566097571,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",25,0,-47.8457137096187,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,0,-28.511711988521814,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0.0, 'e': 0.0}",20,0,-36.520687327040775,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
36,True,"{'a': 0.0, 'e': 0.0}",20,0,-44.23802899069231,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
37,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.517406943254137,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
38,True,"{'a': 0.0, 'e': 0.0}",25,0,-58.90816532347954,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
39,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.76864094573164,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
40,True,"{'a': 0.0, 'e': 0.0}",25,0,-58.55836523996892,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0.0, 'e': 0.0}",20,0,-25.537773360076933,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
42,True,"{'a': 0.0, 'e': 0.0}",25,0,-49.2367628447441,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
43,True,"{'a': 0.0, 'e': 0.0}",20,0,-49.16824860307057,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0.0, 'e': 0.0}",30,0,-54.09913046832802,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
45,True,"{'a': 0.0, 'e': 0.0}",35,0,-74.81067525533004,"{0: 15, 1: 20, 2: 0, 3: 0, 4: 0}",0
46,True,"{'a': 0.0, 'e': 0.0}",25,0,-37.310822482474734,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0.0, 'e': 0.0}",25,0,-59.66430451461129,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
48,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.73803511130115,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
49,True,"{'a': 0.0, 'e': 0.0}",25,0,-35.9235534612461,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
50,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.711833700693212,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
51,True,"{'a': 0.0, 'e': 0.0}",30,0,-51.65091315810414,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
52,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.700699736806218,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
53,True,"{'a': 0.0, 'e': 0.0}",25,0,-50.07500313170043,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
54,True,"{'a': 0.0, 'e': 0.0}",25,0,-41.776900105549046,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
55,True,"{'a': 0.0, 'e': 0.0}",30,0,-34.42635473779979,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
56,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.99061427500274,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
57,True,"{'a': 0.0, 'e': 0.0}",25,0,-44.98467534088428,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
58,True,"{'a': 0.0, 'e': 0.0}",25,0,-36.8476445866552,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
59,True,"{'a': 0.0, 'e': 0.0}",30,0,-39.4246170347457,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
60,True,"{'a': 0.0, 'e': 0.0}",30,0,-56.59764633685404,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
61,True,"{'a': 0.0, 'e': 0.0}",25,0,-52.47270328100681,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
62,True,"{'a': 0.0, 'e': 0.0}",25,0,-38.16584716378895,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
63,True,"{'a': 0.0, 'e': 0.0}",20,0,-31.864814367035926,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
64,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.0085698248935,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
65,True,"{'a': 0.0, 'e': 0.0}",25,0,-32.504014232835836,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
66,True,"{'a': 0.0, 'e': 0.0}",30,0,-42.680065274970985,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
67,True,"{'a': 0.0, 'e': 0.0}",30,0,-55.06255480139878,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
68,True,"{'a': 0.0, 'e': 0.0}",20,0,-33.25380479846632,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
69,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.8805441148551,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
70,True,"{'a': 0.0, 'e': 0.0}",30,0,-67.4610218910734,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
71,True,"{'a': 0.0, 'e': 0.0}",20,0,-36.9352557193215,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
72,True,"{'a': 0.0, 'e': 0.0}",25,0,-36.32568727063432,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
73,True,"{'a': 0.0, 'e': 0.0}",30,0,-48.33983195341303,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
74,True,"{'a': 0.0, 'e': 0.0}",20,0,-51.189561947783,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
75,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.86612582724411,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
76,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.622144673789872,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
77,True,"{'a': 0.0, 'e': 0.0}",30,0,-41.39821430733447,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
78,True,"{'a': 0.0, 'e': 0.0}",20,0,-52.53937974500245,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
79,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.229111291882374,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
