trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9987502603949663}",20,0,-103.11625278597303,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.9950041652780258}",25,0,-102.06531238382789,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.9887710779360422}",30,0,-121.2464847812284,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.9800665778412416}",20,0,-109.16967088530637,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.9689124217106447}",25,0,-158.97179771544438,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.955336489125606}",25,2,-112.68758532027198,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 1}",1
7,False,"{'a': 0.05, 'e': 0.9393727128473789}",35,2,-183.619203268437,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 3}",1
8,False,"{'a': 0.05, 'e': 0.9210609940028851}",20,0,-108.39060307216863,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.9004471023526769}",25,0,-177.70817509368652,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.05, 'e': 0.8775825618903728}",30,0,-109.34198392631002,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.8525245220595057}",25,0,-186.12771213327724,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.05, 'e': 0.8253356149096782}",20,8,-71.73264496542933,"{0: 6, 1: 0, 2: 4, 3: 2, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.7960837985490558}",20,3,-86.8778881493628,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 0}",1
14,False,"{'a': 0.05, 'e': 0.7648421872844884}",30,0,-113.2985833226239,"{0: 17, 1: 4, 2: 6, 3: 3, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.7316888688738209}",25,16,-15.25155442558987,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.05, 'e': 0.6967067093471654}",30,3,-84.60197053167335,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.05, 'e': 0.6599831458849821}",30,0,-117.78506831180891,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.6216099682706644}",20,0,-40.26947339349819,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
