trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.95}",25,0,-181.29448641914396,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.02, 'e': 0.8999999999999999}",20,0,-54.08173868855403,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.02, 'e': 0.8499999999999999}",25,0,-150.79651324587553,"{0: 11, 1: 6, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.02, 'e': 0.7999999999999998}",20,0,-64.02321009889225,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.02, 'e': 0.7499999999999998}",30,0,-241.63164627567173,"{0: 15, 1: 2, 2: 7, 3: 3, 4: 3}",0
6,False,"{'a': 0.02, 'e': 0.6999999999999997}",20,0,-112.36186781036767,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.02, 'e': 0.6499999999999997}",25,7,-143.1701894394434,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 3}",1
8,False,"{'a': 0.02, 'e': 0.5999999999999996}",20,0,-97.06474321700988,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.02, 'e': 0.5499999999999996}",25,0,-161.46891888921778,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.02, 'e': 0.4999999999999996}",30,0,-106.77604181256487,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.02, 'e': 0.4499999999999996}",20,0,-20.527941917659817,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.39999999999999963}",20,0,-19.30020837417731,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.02, 'e': 0.34999999999999964}",30,0,-38.92459739736676,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.29999999999999966}",20,0,12.52042831269836,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.02, 'e': 0.24999999999999967}",20,0,29.1353749657614,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.02, 'e': 0.19999999999999968}",30,0,-126.79568306626273,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
17,False,"{'a': 0.02, 'e': 0.1499999999999997}",20,14,7.468345180741975,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.02, 'e': 0.09999999999999969}",25,0,14.376424417537102,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.02, 'e': 0.049999999999999684}",25,11,4.127785075812901,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.02, 'e': -3.191891195797325e-16}",25,3,25.851066815569762,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,7,24.594953513326665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,1,25.864566425181874,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,15.345740300979488,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,4,-75.67354034878498,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 2}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,8,-18.720364411269866,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,23.48643034879098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,31.75181025020909,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,25.799543568217356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,3.134067010676045,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,15,16.6770854520176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,0,-19.75177404778015,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.172647151001257,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,15.366202131212344,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,16,6.821715083379539,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,0,25.78896665236764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,10,9.064720580703034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,0,13.905865336346379,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,True,"{'a': 0.0, 'e': 0.0}",30,11,5.244029966434703,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,6,19.822274039524338,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,1,35.48957232411875,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",20,0,23.122049264042,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",25,0,32.820588481849605,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0.0, 'e': 0.0}",20,0,24.28342127981554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",20,5,19.346277069201445,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",20,7,21.076393100472963,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.31745393808763,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
27,True,"{'a': 0.0, 'e': 0.0}",20,11,10.878799524486375,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",25,7,-8.875248005330496,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
29,True,"{'a': 0.0, 'e': 0.0}",25,0,23.746756047609708,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.0, 'e': 0.0}",25,2,35.52116180433061,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",20,0,15.248909872104784,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",25,16,13.603486214571417,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",25,14,18.673502169053236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.0, 'e': 0.0}",35,9,32.4705364527647,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",25,13,18.222346781618594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",35,19,21.08942836009448,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",20,3,28.436611286639646,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",25,0,29.931166462065903,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,True,"{'a': 0.0, 'e': 0.0}",25,0,30.509870140094122,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,True,"{'a': 0.0, 'e': 0.0}",30,12,9.29183540093868,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,True,"{'a': 0.0, 'e': 0.0}",20,11,4.792825156584324,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.223613428841144,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
43,True,"{'a': 0.0, 'e': 0.0}",20,2,26.603081323057282,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0.0, 'e': 0.0}",20,0,4.825062161523883,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
45,True,"{'a': 0.0, 'e': 0.0}",30,10,9.066484316681338,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,True,"{'a': 0.0, 'e': 0.0}",30,4,-4.333139719165964,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,True,"{'a': 0.0, 'e': 0.0}",30,1,29.344340840010727,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0.0, 'e': 0.0}",20,0,22.499305174945828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,True,"{'a': 0.0, 'e': 0.0}",25,0,-52.481083311242124,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
50,True,"{'a': 0.0, 'e': 0.0}",25,2,27.648159129769972,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0.0, 'e': 0.0}",25,5,8.046960799573261,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
52,True,"{'a': 0.0, 'e': 0.0}",30,0,10.177872466741626,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
53,True,"{'a': 0.0, 'e': 0.0}",35,0,-62.804491310428325,"{0: 32, 1: 0, 2: 0, 3: 1, 4: 2}",0
54,True,"{'a': 0.0, 'e': 0.0}",25,17,9.136091342300663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0.0, 'e': 0.0}",25,0,17.262160054794524,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,True,"{'a': 0.0, 'e': 0.0}",25,14,16.04730586089055,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.0, 'e': 0.0}",30,0,20.970359186282863,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,True,"{'a': 0.0, 'e': 0.0}",30,17,13.574457287032054,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0.0, 'e': 0.0}",20,0,-59.841469992915655,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
60,True,"{'a': 0.0, 'e': 0.0}",20,10,16.487025154882335,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0.0, 'e': 0.0}",30,0,42.74093187197796,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,True,"{'a': 0.0, 'e': 0.0}",25,0,8.126511264318422,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
63,True,"{'a': 0.0, 'e': 0.0}",25,1,25.230636603010524,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,True,"{'a': 0.0, 'e': 0.0}",30,10,19.55919389718257,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0.0, 'e': 0.0}",20,0,2.5575816627838353,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
66,True,"{'a': 0.0, 'e': 0.0}",30,0,-9.446460665320561,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
67,True,"{'a': 0.0, 'e': 0.0}",35,10,34.22831046464493,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0.0, 'e': 0.0}",20,15,5.541996226346345,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0.0, 'e': 0.0}",25,10,18.639112386930485,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0.0, 'e': 0.0}",20,0,-4.470975174139336,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
71,True,"{'a': 0.0, 'e': 0.0}",20,13,11.130498456362083,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.0, 'e': 0.0}",20,0,24.185636392093027,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,True,"{'a': 0.0, 'e': 0.0}",20,0,-30.70149477274373,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
74,True,"{'a': 0.0, 'e': 0.0}",20,0,20.638631410147998,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,True,"{'a': 0.0, 'e': 0.0}",20,5,21.784163096120675,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.0, 'e': 0.0}",20,0,25.847878315327872,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,True,"{'a': 0.0, 'e': 0.0}",25,0,35.72452250701522,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,True,"{'a': 0.0, 'e': 0.0}",20,0,17.970287266808864,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
79,True,"{'a': 0.0, 'e': 0.0}",25,13,-24.6200952334058,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,True,"{'a': 0.0, 'e': 0.0}",30,5,43.156072504535494,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0.0, 'e': 0.0}",20,6,19.378555844924303,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0.0, 'e': 0.0}",20,5,2.3087042437773375,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,True,"{'a': 0.0, 'e': 0.0}",20,0,25.84437432231457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,True,"{'a': 0.0, 'e': 0.0}",25,0,25.90816129558505,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
85,True,"{'a': 0.0, 'e': 0.0}",25,0,16.79204525141191,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
86,True,"{'a': 0.0, 'e': 0.0}",20,11,-53.81094872683269,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
87,True,"{'a': 0.0, 'e': 0.0}",30,0,10.722131915958649,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
88,True,"{'a': 0.0, 'e': 0.0}",30,0,-7.443506853316791,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
89,True,"{'a': 0.0, 'e': 0.0}",25,13,7.024539871660023,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,True,"{'a': 0.0, 'e': 0.0}",20,0,10.371738860249165,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
91,True,"{'a': 0.0, 'e': 0.0}",20,0,23.399877350243177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,True,"{'a': 0.0, 'e': 0.0}",20,0,12.418876132550148,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
93,True,"{'a': 0.0, 'e': 0.0}",30,7,7.700996389226729,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,True,"{'a': 0.0, 'e': 0.0}",20,0,24.950837349187847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,True,"{'a': 0.0, 'e': 0.0}",20,7,-18.21283556218744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,True,"{'a': 0.0, 'e': 0.0}",20,0,26.723891355990325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,True,"{'a': 0.0, 'e': 0.0}",20,0,31.578574795490287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,True,"{'a': 0.0, 'e': 0.0}",20,12,15.32571206131127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0.0, 'e': 0.0}",25,0,28.927608349400085,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,True,"{'a': 0.0, 'e': 0.0}",20,3,25.372770381707486,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
