trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.02}",25,0,-67.67591498065396,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.02, 'e': 0.00040000000000000002}",30,4,-67.90396887851641,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 1}",1
3,False,"{'a': 0.02, 'e': 8.0000000000000013e-06}",20,0,-33.01420144955315,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.02, 'e': 1.6e-07}",25,0,7.733507546415684,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.02, 'e': 3.2000000000000005e-09}",20,0,11.945715625402457,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,False,"{'a': 0.02, 'e': 6.4000000000000012e-11}",20,0,26.175954861128297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.02, 'e': 1.2800000000000002e-12}",20,3,-20.342963166363326,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.02, 'e': 2.5600000000000006e-14}",25,0,-125.04274151797551,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
9,False,"{'a': 0.02, 'e': 5.1200000000000014e-16}",30,13,11.759619131537136,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.02, 'e': 1.0240000000000003e-17}",20,13,6.69145939241227,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.02, 'e': 2.0480000000000006e-19}",30,15,9.549475356321306,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.02, 'e': 4.0960000000000012e-21}",30,0,8.160429482203073,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.02, 'e': 8.1920000000000027e-23}",20,0,-26.435461915424966,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.02, 'e': 1.6384000000000005e-24}",25,0,19.661321833723143,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.02, 'e': 3.2768000000000008e-26}",20,0,6.130105020310008,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.02, 'e': 6.5536000000000022e-28}",25,0,10.156142453786087,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.02, 'e': 1.3107200000000005e-29}",25,0,26.544452281864956,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.02, 'e': 2.6214400000000012e-31}",25,0,3.8778903749035254,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.02, 'e': 5.2428800000000019e-33}",20,0,23.33545757062695,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.02, 'e': 1.0485760000000004e-34}",30,0,-8.940970813336666,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,18.43956584151923,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,22.77350998964481,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-22.76957548305126,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,26.514831174220802,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,8.578510073887706,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,16,-5.437983257815276,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,12.801416754019156,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,25.893011966055475,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,9,5.3358990825816965,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,6.08682197656432,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,0,3.1609251469181436,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",25,0,3.5587071206753365,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",30,0,-15.92954926999313,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,0,20.852409988781876,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.0, 'e': 0.0}",30,0,38.14339673624823,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,0,18.071961921051816,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",25,0,19.447585635549395,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,True,"{'a': 0.0, 'e': 0.0}",20,0,-47.44848570222224,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,True,"{'a': 0.0, 'e': 0.0}",25,0,20.51620427405551,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,0,16.950027758325334,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,True,"{'a': 0.0, 'e': 0.0}",20,0,33.66119251009616,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.6922201715633,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,0,-12.652916256590462,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",30,5,27.037267686202288,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",35,0,-8.525631535830701,"{0: 32, 1: 2, 2: 0, 3: 0, 4: 1}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,0,27.070256767008086,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.0, 'e': 0.0}",25,0,-13.145107515218337,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
28,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.069111824979712,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,True,"{'a': 0.0, 'e': 0.0}",25,0,33.646383129500286,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.0, 'e': 0.0}",20,1,-34.515992674848384,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
31,True,"{'a': 0.0, 'e': 0.0}",30,0,8.421974943377398,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",25,0,27.703787014727595,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",35,0,33.12284099609748,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,12,-1.413120418066972,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.331123807756498,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
36,True,"{'a': 0.0, 'e': 0.0}",30,0,21.299651112819166,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
37,True,"{'a': 0.0, 'e': 0.0}",25,0,27.76553120041766,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.57704056757812,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
39,True,"{'a': 0.0, 'e': 0.0}",35,0,26.363603816462287,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
40,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.49897692684451,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
41,True,"{'a': 0.0, 'e': 0.0}",25,0,28.48650741773003,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
42,True,"{'a': 0.0, 'e': 0.0}",30,0,20.365500385053796,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
43,True,"{'a': 0.0, 'e': 0.0}",20,0,30.26956796101581,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0.0, 'e': 0.0}",25,19,-31.884908765629657,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,True,"{'a': 0.0, 'e': 0.0}",30,0,-54.67581630521506,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
46,True,"{'a': 0.0, 'e': 0.0}",25,0,24.073664640795617,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0.0, 'e': 0.0}",25,0,40.179216884694156,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,True,"{'a': 0.0, 'e': 0.0}",20,0,26.836198034791696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
