trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",25,0,-93.94064447270608,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.02, 'e': 0.25}",25,0,-69.86264302894072,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.1111111111111111}",25,0,-93.37232250244679,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.02, 'e': 0.0625}",25,0,-42.91185084962389,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.02, 'e': 0.04}",20,9,-18.530325803210463,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.02, 'e': 0.027777777777777776}",20,0,-8.819593674809209,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.02, 'e': 0.02040816326530612}",25,0,11.144786857327173,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.015625}",25,0,2.4948158522334527,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.02, 'e': 0.012345679012345678}",30,0,-114.58417316068285,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 3}",0
10,False,"{'a': 0.02, 'e': 0.01}",25,0,-25.71628421367495,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.008264462809917356}",25,0,29.112781033290293,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.006944444444444444}",25,14,-5.066918486027798,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.02, 'e': 0.005917159763313609}",25,0,-14.711110005442535,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.00510204081632653}",20,0,-36.08102123035534,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.02, 'e': 0.0044444444444444444}",35,11,-53.172672479721726,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 2}",1
16,False,"{'a': 0.02, 'e': 0.00390625}",25,0,-7.876027381834687,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.02, 'e': 0.0034602076124567475}",25,0,16.713172715286657,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.02, 'e': 0.0030864197530864196}",25,0,-12.533161418510668,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.02, 'e': 0.002770083102493075}",35,17,-54.16399675789903,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.02, 'e': 0.0025}",25,0,10.283797026842448,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.15031314166448,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,14,14.225265924979388,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,16,13.586934004703457,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,6.41102834402858,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,14,9.398171141130522,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,25.499791992975815,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,12,12.907474708726975,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,17,2.4206286094704583,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,23.635489162068975,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-25.52332884818429,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
11,True,"{'a': 0.0, 'e': 0.0}",35,0,38.298230458785014,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",25,0,23.094433408828962,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",25,0,27.306431775807187,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.0, 'e': 0.0}",25,14,16.295564858553178,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",25,0,-57.91938931217288,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,True,"{'a': 0.0, 'e': 0.0}",25,18,-9.885158687444077,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,0,24.011249464923775,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.0, 'e': 0.0}",25,0,23.609710358515546,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,True,"{'a': 0.0, 'e': 0.0}",25,6,24.29451351493688,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",20,0,23.242266556046673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0.0, 'e': 0.0}",20,0,23.76438145342724,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",25,0,9.35226101189097,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,True,"{'a': 0.0, 'e': 0.0}",30,12,25.364203568344582,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",25,14,18.256172139582503,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",25,8,25.318158913454454,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",30,16,13.07050500525785,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",30,22,7.373356815711312,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",25,0,31.068883549463955,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",25,9,21.30672307795135,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",20,3,-18.992999407692665,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,True,"{'a': 0.0, 'e': 0.0}",20,0,25.505737596607087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",25,0,25.687467666394745,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",20,0,18.322556222295333,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,16,6.8844335859128405,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",30,0,38.856851915523464,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,True,"{'a': 0.0, 'e': 0.0}",30,0,34.78233892167442,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
