trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.98019867330675525}",30,0,-113.99438827757828,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.02, 'e': 0.96078943915232318}",25,0,-105.5046195635889,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.94176453358424872}",20,0,-145.78521973345906,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.02, 'e': 0.92311634638663576}",20,0,-64.63181660007034,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.02, 'e': 0.90483741803595952}",20,0,-78.00458492940017,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.02, 'e': 0.88692043671715748}",30,0,-132.91164426727974,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.02, 'e': 0.86935823539880586}",20,0,-57.16147938535285,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.02, 'e': 0.85214378896621135}",20,0,-238.2000502532014,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 5}",0
9,False,"{'a': 0.02, 'e': 0.835270211411272}",20,0,-108.95418850349066,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.02, 'e': 0.81873075307798182}",30,0,-118.08785088882937,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.80251879796247849}",25,0,-89.72882213300461,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.78662786106655347}",20,0,-72.44752310910268,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.02, 'e': 0.77105158580356625}",30,0,-125.4209786210512,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.75578374145572547}",25,0,-92.64539475702445,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.02, 'e': 0.74081822068171788}",25,0,-102.41898359220994,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.02, 'e': 0.72614903707369094}",30,0,-149.01685300164485,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.02, 'e': 0.71177032276260965}",25,5,-100.06339427973693,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",1
18,False,"{'a': 0.02, 'e': 0.69767632607103103}",30,11,-56.15583652023118,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 0}",1
19,False,"{'a': 0.02, 'e': 0.68386140921235583}",20,0,-72.70760071633384,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.02, 'e': 0.67032004603563933}",20,0,-31.390029770073042,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.02, 'e': 0.65704681981505675}",25,11,-42.412893210300766,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.02, 'e': 0.64403642108314141}",20,0,-135.10156715736585,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
