trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.69578663012103,"{0: 17, 1: 6, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,5,-30.655237555459586,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.9358160928806,"{0: 16, 1: 1, 2: 10, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.04280604121047,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-180.11261991701986,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.08046720871115,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.53035291077912,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.82698643882284,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.27208121153126,"{0: 10, 1: 3, 2: 8, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.88510564597547,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.6514042458802,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.01692390629933,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,5,-87.70051443502487,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.32016136018386,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-251.36743190113475,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.64257105334079,"{0: 16, 1: 2, 2: 3, 3: 4, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-30.78671564370053,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.91585927184445,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.60280854116385,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.47350559006956,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.5210646516785,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.29448828437172,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.24193281407885,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.972056221723804,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.28798697736707,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.08741370839947,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.08352934970411,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,1,-96.81347340390491,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,14,-56.17251130746872,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-231.84937418785515,"{0: 16, 1: 6, 2: 8, 3: 3, 4: 2}",0
