trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.0875962874741,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.10770771499035,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.02438382312685,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.6299375153493,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.94272542700634,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.0027982174859,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.70073483140322,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.79960202360793,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.48583967981295,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.36890117047102,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.3182325439065,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.3484880054234,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.87816464791769,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.05054622678318,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-260.55380834889684,"{0: 20, 1: 2, 2: 7, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.44474964536383,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.91958161796632,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.5795053812572,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.83644793750051,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.38116222329765,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.50202837726985,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.44617247530971,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-208.33218085690243,"{0: 12, 1: 6, 2: 9, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-187.5825639883449,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-17.61014362225419,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-83.97488332429803,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.12219238782802,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.99948306230442,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.17808549910752,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.86904240071038,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
